Wavelength [$\mu$m],Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune
0.29999998,0.3274856,0.0033996843,0.031531803,0.21720019,0.27050075,0.5412005,0.77140355
0.30111808,0.40334603,0.003971122,0.03127601,0.21881714,0.2394785,0.5321662,0.5721002
0.30223617,0.3316551,0.0048445924,0.031019699,0.23831391,0.23996046,0.5173214,0.57065344
0.30335426,0.38446724,0.0066675358,0.030873448,0.26777986,0.24626008,0.52359015,0.5742458
0.30447236,0.3341812,0.008352722,0.03062952,0.27039343,0.24192399,0.5215095,0.5822535
0.30559042,0.36975387,0.012796975,0.03044071,0.27046648,0.23348323,0.5195973,0.5705453
0.3067085,0.32684115,0.015939405,0.030310977,0.2726058,0.22991757,0.5384402,0.58159786
0.3078266,0.34803954,0.024493959,0.03023922,0.27073348,0.23180345,0.52944976,0.57955617
0.3089447,0.32707903,0.030154712,0.030099407,0.26877448,0.23104683,0.5252148,0.58020467
0.3100628,0.33311144,0.045541897,0.029966015,0.272157,0.2361256,0.5283512,0.5961224
0.3111809,0.3253821,0.053064793,0.0299115,0.27175736,0.23573823,0.5149827,0.56846356
0.31229898,0.32908896,0.074089944,0.029788302,0.26987678,0.23450205,0.518705,0.5713647
0.31341708,0.32214338,0.082558155,0.02965885,0.2706,0.23406582,0.51443976,0.5680854
0.31453514,0.32377553,0.11236609,0.029536182,0.27166757,0.23226754,0.5263431,0.58069855
0.31565323,0.31893343,0.11633692,0.029503977,0.27101943,0.22973993,0.52275753,0.5711971
0.31677133,0.3176703,0.14720951,0.029387463,0.27318597,0.22927879,0.5242804,0.5753804
0.31788942,0.315254,0.14888959,0.029268749,0.27139592,0.22547239,0.519616,0.57128423
0.31900752,0.3141249,0.1902513,0.029155048,0.27365565,0.22619624,0.5219249,0.572055
0.3201256,0.31133303,0.17875567,0.029048717,0.273386,0.22376618,0.5222266,0.5702266
0.3212437,0.31252596,0.23363902,0.02899491,0.27424368,0.22316554,0.53101593,0.582505
0.3223618,0.31436107,0.2012828,0.028923618,0.27434275,0.221386,0.52119005,0.57343733
0.32347986,0.31644443,0.2552836,0.028821265,0.27638024,0.22081028,0.5282806,0.5789616
0.32459795,0.31715712,0.23231502,0.02871807,0.27724028,0.22015052,0.52094644,0.5715515
0.32571605,0.31837878,0.23963155,0.028615795,0.27895185,0.21897775,0.5175369,0.5637622
0.32683414,0.31973752,0.27372047,0.02860142,0.2787,0.21745732,0.5107573,0.55742323
0.32795224,0.32077694,0.24517253,0.028505951,0.2808328,0.21719997,0.5170104,0.5654193
0.32907033,0.32180697,0.28353676,0.028417885,0.282,0.21622966,0.5205242,0.5687242
0.33018842,0.3231736,0.28344902,0.028338727,0.28247684,0.21461159,0.520461,0.5690313
0.33130652,0.3255206,0.2781687,0.0283709,0.28415325,0.21369348,0.5234805,0.57292664
0.33242458,0.32756355,0.29790854,0.028352508,0.28641227,0.21346928,0.52700615,0.575843
0.33354267,0.32997945,0.29695362,0.028333457,0.28755668,0.21257132,0.532198,0.5817693
0.33466077,0.33262742,0.30085704,0.028316403,0.28733483,0.21047406,0.52323484,0.57166976
0.33577886,0.3348333,0.30484977,0.028300751,0.28902847,0.20955773,0.52872354,0.5788341
0.33689696,0.337093,0.3062612,0.028313931,0.29089987,0.20890899,0.5311087,0.5825148
0.33801505,0.3394947,0.31117842,0.02831915,0.29214144,0.20821127,0.52598286,0.57540375
0.33913314,0.34293693,0.30870566,0.02830809,0.29271585,0.20699972,0.5222642,0.5723796
0.34025124,0.3451808,0.31527007,0.028297514,0.2930488,0.20533474,0.51262987,0.5599299
0.34136933,0.34558645,0.3067987,0.028288981,0.29566196,0.20543863,0.5214705,0.5699895
0.3424874,0.3458533,0.29895365,0.028281115,0.2959,0.2041126,0.5153781,0.56371593
0.3436055,0.34613374,0.3143778,0.0283259,0.296422,0.20220962,0.5178608,0.56469506
0.34472358,0.34638193,0.3187474,0.028321,0.30080566,0.20422472,0.5285092,0.576662
0.34584168,0.34669355,0.3142845,0.0283173,0.30069172,0.20228544,0.5196668,0.56975013
0.34695977,0.34693342,0.31323424,0.0283146,0.3032802,0.20228048,0.52287996,0.57328
0.34807786,0.34720102,0.31218296,0.0283128,0.30526376,0.20204696,0.5211764,0.5701375
0.34919596,0.34749016,0.3111318,0.028312,0.3054879,0.20069599,0.5223424,0.5729383
0.35031402,0.3476018,0.31008014,0.028317517,0.30519438,0.1990159,0.50920016,0.5582571
0.3514321,0.3473335,0.3090289,0.028326701,0.3073382,0.19949009,0.51815164,0.5659455
0.3525502,0.34738725,0.30797803,0.028335923,0.31047547,0.20002529,0.5239501,0.57475
0.3536683,0.3467302,0.30692568,0.028344994,0.30941707,0.19819753,0.511283,0.5583683
0.3547864,0.34658378,0.30587563,0.02844404,0.30892724,0.19633403,0.50911576,0.55554307
0.3559045,0.34625515,0.30482408,0.028580062,0.31145227,0.1964955,0.51363885,0.56131047
0.35702258,0.34601417,0.303772,0.0287153,0.31815884,0.19970158,0.5364071,0.58814186
0.35814068,0.34580263,0.3027213,0.028856184,0.31858474,0.19853303,0.5409256,0.5963158
0.35925877,0.34528518,0.30167013,0.02899845,0.31875017,0.19806488,0.52545416,0.5763484
0.36037683,0.34523615,0.30061844,0.029133644,0.31779,0.19605951,0.51893675,0.56907874
0.36149493,0.34567392,0.29956713,0.029268013,0.3198034,0.19634067,0.5188203,0.5702254
0.36261302,0.34609723,0.29851598,0.029401518,0.32037088,0.19576974,0.5114139,0.56152153
0.36373112,0.34627488,0.29746488,0.029533926,0.3221495,0.19614615,0.51908964,0.56842405
0.3648492,0.34670934,0.29641378,0.029665742,0.32493845,0.19712618,0.52576494,0.5771034
0.3659673,0.34710562,0.29536203,0.029797362,0.32137355,0.1942572,0.5055043,0.5527269
0.3670854,0.34771636,0.2943104,0.0299277,0.32441348,0.19511403,0.51369655,0.5619966
0.36820346,0.34836087,0.29325965,0.030066468,0.32694745,0.19584915,0.51710355,0.5676596
0.36932158,0.34826663,0.29220808,0.030209556,0.32821277,0.19609118,0.51691765,0.565901
0.37043965,0.34871143,0.29115644,0.030351475,0.3297253,0.19603701,0.5235354,0.5748363
0.37085414,0.34931064,0.29076707,0.030404203,0.33401278,0.19880226,0.53635633,0.5865669
0.3722363,0.35022497,0.2894677,0.030578563,0.3369996,0.19948609,0.5419986,0.59154415
0.37361845,0.35104674,0.2881673,0.030752096,0.34455234,0.20301232,0.561977,0.61488616
0.37500063,0.3517384,0.28686777,0.030923463,0.3453936,0.2032463,0.5581182,0.6117147
0.3763828,0.35267866,0.28556854,0.031094234,0.3417871,0.20068707,0.54137063,0.5923232
0.37776494,0.35329124,0.28426957,0.031263642,0.33920094,0.19882986,0.52153504,0.56739897
0.3791471,0.35416308,0.2829699,0.03143161,0.3433413,0.20088099,0.5338214,0.580757
0.38052925,0.35568166,0.28166974,0.031648476,0.34232318,0.20036462,0.52826774,0.57464767
0.38191143,0.35676152,0.28037047,0.031943116,0.35033503,0.20441215,0.5586417,0.60848886
0.3832936,0.35784578,0.2790704,0.032237284,0.35469583,0.20678943,0.5861791,0.63870883
0.38467574,0.35869527,0.27777126,0.032534275,0.3505699,0.20452815,0.5419728,0.5891563
0.3860579,0.36091572,0.2764722,0.03283116,0.35742083,0.20819594,0.56541234,0.61269915
0.3874401,0.3621703,0.2751719,0.0331235,0.3562794,0.2079197,0.5468779,0.5923374
0.38882223,0.36252353,0.27387276,0.033418186,0.3609166,0.21116108,0.5459108,0.5874275
0.3902044,0.36385453,0.27257204,0.033714008,0.36075547,0.21175988,0.542162,0.58394885
0.39158657,0.36656132,0.2712731,0.034010086,0.3586867,0.21149336,0.5317063,0.57263994
0.3929687,0.36875015,0.2699736,0.03429871,0.37021598,0.21703216,0.5880936,0.6356087
0.3943509,0.37136182,0.268674,0.034594037,0.37117365,0.21967544,0.5553435,0.59867316
0.39573303,0.37291667,0.26737443,0.034888975,0.36966655,0.21960002,0.5541621,0.5946282
0.3971152,0.37373084,0.26607457,0.035184477,0.3854482,0.22962424,0.60760283,0.65293884
0.39849737,0.3771623,0.26477534,0.03544292,0.37211645,0.22336777,0.5289322,0.5663296
0.39987952,0.37927744,0.26347548,0.03573332,0.3737988,0.22522892,0.532147,0.5681964
0.4012617,0.3825014,0.26217592,0.0363623,0.3744154,0.22719255,0.53112125,0.56434417
0.40264386,0.38456327,0.26087633,0.037019927,0.37391722,0.22842197,0.51810503,0.55144405
0.404026,0.3892029,0.2595761,0.037608687,0.3784185,0.23220149,0.535084,0.56948
0.40540817,0.3933385,0.25827685,0.03820793,0.3824572,0.23579699,0.5424765,0.5723386
0.40679032,0.39643127,0.25697732,0.03887471,0.38697094,0.2403782,0.54141283,0.56707424
0.4081725,0.3995614,0.25567764,0.03953843,0.3893688,0.24291375,0.5513064,0.58264947
0.40955466,0.402826,0.25437856,0.04007602,0.38995063,0.24441865,0.55491376,0.5875684
0.41093683,0.40844885,0.25307885,0.040752083,0.39255252,0.24801834,0.5544342,0.58542633
0.41231897,0.41227588,0.25177896,0.041433185,0.3959164,0.2518569,0.55337715,0.5824569
0.41370115,0.41627854,0.25047982,0.042111874,0.39963904,0.25624368,0.5598551,0.5879563
0.4150833,0.42035285,0.2497497,0.04278336,0.4015086,0.25914595,0.5634424,0.59035915
0.41646546,0.42459762,0.24909566,0.04343716,0.40064365,0.26069456,0.5523473,0.5779146
0.41784763,0.4298506,0.24856985,0.044086814,0.4066714,0.2665905,0.56959987,0.5939237
0.41922978,0.43354446,0.2449985,0.044733282,0.40877768,0.26982236,0.5608022,0.5799235
0.42061195,0.4385118,0.24439509,0.04540948,0.4099224,0.27316415,0.55685073,0.5748866
0.4219941,0.44303158,0.24472703,0.046123244,0.41231337,0.27620152,0.56897795,0.58968097
0.42337626,0.44758084,0.24461342,0.04676215,0.41582537,0.28042537,0.57460004,0.5963916
0.42475843,0.4521963,0.24569152,0.047485344,0.4180675,0.28392988,0.575739,0.5971701
0.4261406,0.45694077,0.24294116,0.048207067,0.4225375,0.28915936,0.57915086,0.5990399
0.42752275,0.4628385,0.24206923,0.048931662,0.42758268,0.29455787,0.59295154,0.6118515
0.42890492,0.4670455,0.24183342,0.049653012,0.42618847,0.29536715,0.589541,0.60718846
0.43028706,0.47115403,0.240701,0.050306816,0.43337888,0.30172238,0.61454934,0.62989056
0.43166924,0.47433653,0.23874187,0.051042028,0.4272134,0.3005942,0.5778095,0.59429216
0.4330514,0.4774972,0.23973681,0.051774345,0.42897505,0.30433765,0.57987297,0.5934758
0.43443355,0.48077485,0.23893942,0.052505724,0.4342292,0.310264,0.5881146,0.5986062
0.43581572,0.48434538,0.23712355,0.053239465,0.43370575,0.31199893,0.5725689,0.58056104
0.43719786,0.49019197,0.23724186,0.05394239,0.43518612,0.31488773,0.56576747,0.5704707
0.43858004,0.49382377,0.23620613,0.05466598,0.44519484,0.32397,0.59758997,0.6030649
0.4399622,0.49750292,0.23565343,0.055408303,0.43761355,0.32071903,0.5583491,0.5545007
0.44134438,0.5001871,0.23347177,0.0561671,0.43806022,0.32317978,0.5193537,0.5059312
0.44272652,0.50278014,0.23201674,0.056924004,0.4434672,0.3292591,0.5603912,0.5573768
0.4441087,0.5056218,0.2328057,0.057757188,0.44474348,0.33190763,0.5803315,0.58454895
0.44549084,0.5085292,0.23346427,0.058699705,0.4473083,0.33540848,0.5895989,0.5950351
0.446873,0.5139899,0.23243597,0.059685003,0.4497825,0.33925545,0.590162,0.59352547
0.44825518,0.5170493,0.23068844,0.060669683,0.4533844,0.34351197,0.59262055,0.5932378
0.44963732,0.52017975,0.23000447,0.061655283,0.45321867,0.34560263,0.58989733,0.59165066
0.4510195,0.5220809,0.22937347,0.06264355,0.45209137,0.34646213,0.58603394,0.5851401
0.45240164,0.5235288,0.22889389,0.063641004,0.4541252,0.34942025,0.5875412,0.5863302
0.4537838,0.5249822,0.22832216,0.06464987,0.4575755,0.35386476,0.58689433,0.58148885
0.45516598,0.52641195,0.22713804,0.06565948,0.458283,0.35593197,0.5882041,0.57946366
0.45654815,0.52783,0.22614878,0.066669285,0.45888522,0.3578704,0.5812852,0.5711778
0.4579303,0.5292578,0.22577883,0.067678705,0.4625606,0.36192575,0.5812734,0.5675915
0.45844263,0.5297994,0.22535843,0.068053424,0.46259183,0.36247054,0.5756942,0.5578704
0.46015123,0.53160125,0.22377065,0.069313385,0.46193784,0.36412683,0.55594534,0.53441495
0.46185982,0.53636813,0.22319728,0.07079245,0.46868035,0.3706103,0.5984991,0.58618367
0.46356842,0.53874695,0.22363374,0.07219618,0.4699921,0.37315264,0.60643417,0.5932973
0.46527705,0.54115486,0.22291747,0.07360244,0.47183853,0.37607703,0.6042295,0.5892258
0.46698564,0.5435441,0.22176452,0.07513204,0.47313875,0.37818515,0.6070928,0.59013206
0.46869424,0.5459665,0.22103685,0.07655735,0.47549427,0.38179424,0.6121058,0.59576786
0.47040284,0.54808116,0.21929097,0.07798314,0.47611138,0.3835128,0.6148021,0.59609926
0.47211143,0.5490899,0.21905535,0.079413906,0.479,0.38735572,0.6104264,0.59163284
0.47382003,0.5500911,0.21867722,0.08101938,0.48051494,0.389845,0.6156048,0.5944147
0.47552863,0.5510953,0.2172867,0.08246714,0.48191413,0.39273566,0.60776764,0.58284605
0.47723722,0.5520936,0.2151035,0.08391812,0.4840303,0.3953024,0.6028021,0.5746811
0.47894585,0.55376804,0.21489714,0.08536927,0.48599282,0.3975293,0.5891932,0.55607444
0.48065445,0.55625176,0.21491347,0.08706832,0.4867364,0.39969087,0.5650561,0.52580166
0.48236305,0.55764186,0.21344684,0.088616714,0.4864832,0.40104622,0.54022336,0.49773255
0.48407164,0.55900896,0.21168038,0.09016167,0.48464626,0.4025,0.5132736,0.46637207
0.48578024,0.5603574,0.21022469,0.091715895,0.4817922,0.3989329,0.4475401,0.39390934
0.48748884,0.56175834,0.21002263,0.09352855,0.4933832,0.4101998,0.5407635,0.49557975
0.48919743,0.5631266,0.20969489,0.09505785,0.49658084,0.41408402,0.6207289,0.5848341
0.49090606,0.56438947,0.20937249,0.096307494,0.49644467,0.4149856,0.6276121,0.59242046
0.49261466,0.5655485,0.20857793,0.09755671,0.50049764,0.41895127,0.6289507,0.5933386
0.49432325,0.5666983,0.20722838,0.0990961,0.49998078,0.42012724,0.61820495,0.58413225
0.49603185,0.5678379,0.20615987,0.1003539,0.50283533,0.4228592,0.6291567,0.5931647
0.49774045,0.56924325,0.20570338,0.101612926,0.5029733,0.42461377,0.62838,0.5913778
0.49944904,0.5712955,0.2038624,0.10287058,0.50452256,0.42682257,0.62096965,0.58333576
0.50115764,0.57229424,0.2031608,0.10448627,0.5066364,0.42990464,0.6196564,0.5777318
0.50286627,0.5731598,0.2010759,0.105844185,0.50618285,0.43086573,0.60647196,0.5588725
0.50457484,0.57407963,0.19953054,0.107196465,0.5088311,0.4342185,0.5940783,0.54196566
0.50628346,0.57656926,0.1996303,0.1085506,0.5079496,0.43454564,0.57184947,0.51684463
0.507992,0.57744884,0.19967858,0.110222094,0.50702006,0.43471205,0.5458756,0.48660156
0.50970066,0.57868713,0.19950303,0.1115838,0.5072279,0.43592656,0.5147782,0.4541741
0.5114093,0.5800916,0.19961922,0.112944275,0.51164633,0.44049403,0.536297,0.4769341
0.51311785,0.58143705,0.1999962,0.11430625,0.51379466,0.44355357,0.60230833,0.5491002
0.5148265,0.582765,0.19942832,0.11603058,0.5171338,0.4469669,0.63667285,0.58411914
0.51653504,0.5839945,0.19923756,0.11739668,0.5155389,0.4467701,0.63928723,0.5853707
0.5182437,0.5852218,0.1987386,0.118764296,0.5200497,0.45139793,0.62739706,0.57048124
0.51995224,0.58644605,0.1986375,0.1201315,0.51906127,0.4529448,0.59404296,0.5365384
0.52166086,0.58752835,0.19743434,0.12214533,0.51962173,0.45385218,0.5817348,0.52195877
0.52336943,0.5885557,0.19659793,0.123811126,0.5211153,0.45596942,0.5856293,0.52617645
0.52507806,0.58961254,0.19459344,0.12546885,0.5198391,0.4561086,0.59909284,0.5435405
0.5267867,0.5906781,0.19371998,0.12747572,0.52334005,0.4592467,0.6282394,0.5697129
0.52849525,0.5935942,0.19309546,0.12914115,0.5249143,0.46210957,0.617195,0.5607332
0.5302039,0.5946911,0.19141702,0.13080989,0.52442116,0.46331924,0.61004984,0.5503008
0.53191245,0.5958003,0.19121937,0.13285844,0.52439356,0.46475926,0.58214444,0.5176509
0.5336211,0.596909,0.19005495,0.1345302,0.5273737,0.46821055,0.5418894,0.47576842
0.5353297,0.5979916,0.18983892,0.13620277,0.52606755,0.46816486,0.509979,0.4397817
0.53703827,0.5990262,0.18852852,0.13826838,0.52321696,0.46661693,0.45373115,0.38057384
0.5387469,0.60004437,0.18839888,0.1399495,0.52160704,0.46645394,0.40570968,0.33360344
0.54045546,0.60073626,0.18660147,0.1416817,0.5157089,0.46271983,0.35998124,0.2921476
0.5421641,0.6016809,0.18579306,0.1439609,0.50594366,0.45375645,0.30226678,0.24488726
0.54387265,0.6026036,0.18598533,0.14585131,0.50941736,0.45746714,0.30218422,0.24380758
0.5455813,0.6035973,0.18592614,0.14774303,0.52403456,0.47449714,0.39832357,0.32543114
0.54728985,0.60450464,0.1840114,0.15004133,0.5330102,0.48477757,0.5204456,0.45259053
0.5489985,0.60643697,0.18358694,0.15193844,0.53460675,0.48815113,0.6012126,0.5359638
0.5507071,0.60772336,0.18351758,0.15383077,0.5257304,0.48682326,0.6192768,0.5544768
0.55241567,0.6085474,0.18291411,0.15619391,0.52726865,0.48958826,0.6143706,0.5494843
0.5541243,0.60934365,0.18147582,0.15809491,0.5337175,0.49262428,0.5963464,0.52902895
0.55583286,0.61012423,0.18062209,0.15999365,0.5383657,0.4961493,0.58083564,0.51162803
0.5575415,0.6108847,0.17943294,0.16198766,0.54189515,0.4993537,0.583722,0.51379275
0.55925006,0.6116311,0.17822626,0.1642908,0.54666257,0.5045375,0.5970746,0.5256623
0.5609587,0.6123784,0.17726097,0.16630644,0.5469463,0.50584465,0.5961753,0.52541333
0.56266725,0.61313283,0.17602588,0.16841431,0.5481668,0.50813407,0.59546673,0.52143174
0.5643759,0.61389256,0.17485818,0.17100053,0.5483853,0.50970346,0.58237743,0.5062136
0.5660845,0.614555,0.17381024,0.17311549,0.54645926,0.5098015,0.55553466,0.47456563
0.56671786,0.6147052,0.17316526,0.17389518,0.5478,0.51153845,0.54017365,0.45881203
0.56883,0.6149778,0.16868027,0.1770122,0.5432375,0.5112225,0.50610256,0.4221401
0.57094216,0.61681104,0.16927607,0.17962983,0.54449093,0.51183313,0.47614935,0.39088073
0.57305425,0.6170662,0.16924241,0.18225142,0.54185504,0.5118093,0.43856075,0.35265225
0.5751664,0.6177479,0.1694816,0.18541832,0.53919244,0.50958407,0.39165455,0.30722094
0.57727855,0.6188823,0.17029041,0.18808277,0.5411018,0.51357853,0.3953107,0.3109714
0.5793907,0.6195001,0.17103,0.19132364,0.546,0.520629,0.44068792,0.35559258
0.58150285,0.6199101,0.17131834,0.19450857,0.54872715,0.52608144,0.51741284,0.4342643
0.58361495,0.6204082,0.17135523,0.19724442,0.54872245,0.5290299,0.56552833,0.48394328
0.5857271,0.6204215,0.1712007,0.19998413,0.5484141,0.5316224,0.59000367,0.5096083
0.58783925,0.6175582,0.16656785,0.20352186,0.5451411,0.5338365,0.58800095,0.5068822
0.5899514,0.6157019,0.16142505,0.20625538,0.5484149,0.5388689,0.5592748,0.475083
0.59206355,0.6174201,0.1619309,0.20898755,0.54522055,0.5383458,0.50258887,0.4138524
0.5941757,0.6180055,0.16220148,0.21176647,0.54326534,0.5360486,0.44259188,0.35174048
0.5962878,0.61890936,0.16470414,0.215422,0.5425597,0.5341842,0.40501234,0.31508788
0.59839994,0.62010604,0.16593248,0.2181705,0.5433998,0.5370001,0.4170996,0.3272996
0.6005121,0.62134075,0.16681528,0.22087955,0.5465082,0.54328793,0.45026505,0.3605409
0.60262424,0.62266064,0.16515732,0.22573358,0.54495305,0.54466367,0.49489993,0.4074408
0.6047364,0.6233593,0.16532587,0.23025556,0.5475388,0.54822505,0.5005471,0.4124266
0.6068485,0.62417465,0.16560635,0.23221423,0.54233927,0.54426366,0.4396612,0.34891874
0.6089606,0.62455463,0.166005,0.23416696,0.5422008,0.5411221,0.37403455,0.28503615
0.6110728,0.6247727,0.16674903,0.2355724,0.53970903,0.5383316,0.33733058,0.25059897
0.6131849,0.62489384,0.16781075,0.23628113,0.5186298,0.51261646,0.23862131,0.1754538
0.6152971,0.6249787,0.16861306,0.23782922,0.4953717,0.48831156,0.18501735,0.14346012
0.6174092,0.6250433,0.16912317,0.23937297,0.47125864,0.46344936,0.15555103,0.12765709
0.6195213,0.6250969,0.17017613,0.24091327,0.44886568,0.43170175,0.12818035,0.11208035
0.62163347,0.625068,0.1709175,0.24189153,0.46931082,0.4609115,0.14802754,0.12150976
